Date,Country,City,Specie,count,min (ug/m3),max (ug/m3),median (ug/m3)
2018-01-26,CN,Beijing,pm25,411,3.1,101.9,29.2
2018-02-15,CN,Beijing,pm25,447,3.1,427.7,21.1
2018-05-31,CN,Beijing,pm25,475,3.1,121.3,30.1
2018-06-14,CN,Beijing,pm25,464,3.1,109.7,22.0
2018-06-18,CN,Beijing,pm25,469,7.2,144.5,78.7
2018-01-12,CN,Beijing,pm25,411,14.9,160.5,63.2
2018-01-16,CN,Beijing,pm25,430,14.9,92.2,42.8
2018-02-22,CN,Beijing,pm25,438,3.1,189.8,17.8
2018-03-02,CN,Beijing,pm25,455,37.9,479.2,70.9
2018-04-01,CN,Beijing,pm25,393,59.3,291.8,164.6
2018-06-15,CN,Beijing,pm25,476,9.1,211.0,78.7
2018-06-29,CN,Beijing,pm25,456,3.1,46.8,21.1
2018-01-04,CN,Beijing,pm25,417,3.1,54.1,13.0
2018-01-24,CN,Beijing,pm25,393,3.1,100.0,12.0
2018-03-14,CN,Beijing,pm25,452,96.1,415.6,203.9
2018-03-22,CN,Beijing,pm25,444,37.9,127.1,86.4
2018-03-27,CN,Beijing,pm25,447,50.9,427.7,191.8
2018-05-22,CN,Beijing,pm25,471,6.0,105.8,39.9
2018-05-27,CN,Beijing,pm25,474,3.1,164.6,41.9
2018-02-25,CN,Beijing,pm25,440,15.9,165.6,50.9
2018-03-01,CN,Beijing,pm25,440,3.1,70.9,11.0
2018-02-04,CN,Beijing,pm25,384,3.1,59.3,23.0
2018-02-11,CN,Beijing,pm25,439,3.1,55.5,10.0
2018-03-11,CN,Beijing,pm25,455,21.1,146.5,61.3
2018-03-16,CN,Beijing,pm25,443,10.0,55.5,29.2
2018-01-01,CN,Beijing,pm25,285,4.0,94.2,30.1
2018-01-15,CN,Beijing,pm25,425,3.1,231.2,24.9
2018-03-17,CN,Beijing,pm25,447,18.7,115.5,59.3
2018-05-21,CN,Beijing,pm25,449,24.9,115.5,54.9
2018-05-24,CN,Beijing,pm25,440,3.1,131.0,54.9
2018-02-08,CN,Beijing,pm25,441,3.1,253.5,50.1
2018-02-19,CN,Beijing,pm25,442,70.9,231.2,140.7
2018-04-24,CN,Beijing,pm25,448,3.1,72.9,20.1
2018-04-30,CN,Beijing,pm25,436,8.1,140.7,28.2
2018-05-08,CN,Beijing,pm25,433,3.1,76.8,28.2
2018-05-25,CN,Beijing,pm25,456,23.9,134.9,59.3
2018-01-11,CN,Beijing,pm25,416,3.1,63.2,8.1
